movie_id,movie_name,year,cast
tt13131350,Vikram Vedha,2022,"Saif Ali Khan, Hrithik Roshan, Radhika Apte, Rohit Saraf"
tt0367110,"Swades: We, the People",2004,"Shah Rukh Khan, Gayatri Joshi, Kishori Ballal, Smith Seth"
tt3863552,Bajrangi Bhaijaan,2015,"Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor"
tt27501039,Bloody Daddy,2023,"Shahid Kapoor, Vivan Bhatena, Diana Penty, Ronit Roy"
tt2980648,The Hundred-Foot Journey,2014,"Helen Mirren, Om Puri, Manish Dayal, Charlotte Le Bon"
tt10811166,The Kashmir Files,2022,"Mithun Chakraborty, Anupam Kher, Darshan Kumaar, Pallavi Joshi"
tt22892546,Akelli,2023,"Nushrratt Bharuccha, Amir Boutrous, Nishant Dahiya, Vijay Kumar Dogra"
tt2283748,OMG: Oh My God!,2012,"Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Mahesh Manjrekar"
tt12915716,Adipurush,2023,"Kriti Sanon, Saif Ali Khan, Prabhas, Devdutta Nage"
tt15073166,IB 71,2023,"Anupam Kher, Vidyut Jammwal, Dalip Tahil, Nissar Khan"
tt5935704,Padmaavat,2018,"Deepika Padukone, Ranveer Singh, Shahid Kapoor, Aditi Rao Hydari"
tt1562872,Zindagi Na Milegi Dobara,2011,"Hrithik Roshan, Farhan Akhtar, Abhay Deol, Katrina Kaif"
tt2176013,Jab Tak Hai Jaan,2012,"Shah Rukh Khan, Katrina Kaif, Anushka Sharma, Lucy Phelps"
tt15128068,Monica O My Darling,2022,"Rajkummar Rao, Huma Qureshi, Sikandar Kher, Bagavathi Perumal"
tt14099334,Bhediya,2022,"Varun Dhawan, Kriti Sanon, Abhishek Banerjee, Deepak Dobriyal"
tt1562871,Ra.One,2011,"Shah Rukh Khan, Arjun Rampal, Kareena Kapoor, Shahana Goswami"
tt10028196,Laal Singh Chaddha,2022,"Aamir Khan, Ahmad Ibn Umar, Kareena Kapoor, Hafsa Ashraf"
tt1285241,Don 2,2011,"Shah Rukh Khan, Florian Lukas, Om Puri, Priyanka Chopra Jonas"
tt15654262,Chup,2022,"Dulquer Salmaan, Shreya Dhanwanthary, Sunny Deol, Pooja Bhatt"
tt0172684,Kuch Kuch Hota Hai,1998,"Shah Rukh Khan, Kajol, Rani Mukerji, Sana Saeed"
tt0461936,Don,2006,"Shah Rukh Khan, Priyanka Chopra Jonas, Arjun Rampal, Isha Koppikar"
tt0238936,Devdas,2002,"Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit, Jackie Shroff"
tt8130968,Badla,2019,"Amitabh Bachchan, Taapsee Pannu, Amrita Singh, Antonio Aakeel"
tt11905536,Gumraah,2023,"Aditya Roy Kapoor, Mrunal Thakur, Ronit Roy, Vedika Pinto"
tt2350496,The Lunchbox,2013,"Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui, Lillete Dubey"
tt15576460,Zara Hatke Zara Bachke,2023,"Vicky Kaushal, Sara Ali Khan, Inaamulhaq, Sushmita Mukherjee"
tt0891592,Street Fighter: The Legend of Chun-Li,2009,"Kristin Kreuk, Neal McDonough, Michael Clarke Duncan, Chris Klein"
tt13334578,Ganapath,2023,"Tiger Shroff, Himanshu Jaykar, Kriti Sanon, Amitabh Bachchan"
tt12735488,Kalki 2898-AD,2024,"Deepika Padukone, Amitabh Bachchan, Dulquer Salmaan, Disha Patani"
tt0347304,Kal Ho Naa Ho,2003,"Preity G Zinta, Shah Rukh Khan, Saif Ali Khan, Jaya Bachchan"
tt0361411,Bride & Prejudice,2004,"Martin Henderson, Aishwarya Rai Bachchan, Nadira Babbar, Anupam Kher"
tt6571548,The White Tiger,2021,"Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas, Vedant Sinha"
tt27989067,Lust Stories 2,2023,"Tamannaah Bhatia, Vijay Varma, Neena Gupta, Mrunal Thakur"
tt3735246,Bajirao Mastani,2015,"Ranveer Singh, Deepika Padukone, Priyanka Chopra Jonas, Tanvi Azmi"
tt0195002,Kaun?,1999,"Urmila Matondkar, Manoj Bajpayee, Sushant Singh"
tt5946128,Dear Zindagi,2016,"Alia Bhatt, Shah Rukh Khan, Kunal Kapoor, Priyanka Moodley"
tt9052870,Chhichhore,2019,"Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma, Prateik Patil Babbar"
tt15145764,Freddy,2022,"Kartik Aaryan, Alaya F, Karan Pandit, Sajjad Delafrooz"
tt2178470,Yeh Jawaani Hai Deewani,2013,"Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapoor, Kalki Koechlin"
tt7142506,Sir,2018,"Tillotama Shome, Vivek Gomber, Geetanjali Kulkarni, Rahul Vohra"
tt14295590,Mrs. Chatterjee vs. Norway,2023,"Rani Mukerji, Jim Sarbh, Bodhisattwa Majumdar, Saswati Guhathakurta"
tt0374887,Munna Bhai M.B.B.S.,2003,"Sanjay Dutt, Arshad Warsi, Gracy Singh, Boman Irani"
tt3495026,Fan,2016,"Shah Rukh Khan, Shriya Pilgaonkar, Sayani Gupta, Waluscha D'Souza"
tt28540171,Welcome to the Jungle,2024,"Akshay Kumar, Sanjay Dutt, Disha Patani, Jacqueline Fernandez"
tt6148156,Vikram Vedha,2017,"Madhavan, Vijay Sethupathi, Shraddha Srinath, Kathir"
tt0169102,Lagaan: Once Upon a Time in India,2001,"Aamir Khan, Raghubir Yadav, Gracy Singh, Rachel Shelley"
tt28282716,Trial Period,2023,"Genelia Deshmukh, Manav Kaul, Shakti Kapoor, Sheeba Chaddha"
tt18413766,Kathal: A Jackfruit Mystery,2023,"Sanya Malhotra, Joshi Anantvijay, Vijay Raaz, Rajpal Naurang Yadav"
tt10280296,Sardar Udham,2021,"Vicky Kaushal, Shaun Scott, Stephen Hogan, Amol Parashar"
tt3679040,Kisi Ka Bhai Kisi Ki Jaan,2023,"Salman Khan, Pooja Hegde, Venkatesh Daggubati, Jagapathi Babu"
